Brand,Generic,Interactions
Nizoral,Ketoconazole,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face, liver damage"
Nydrazid,Isoniazid,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face, liver damage"
Seromycin,Cycloserine,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
Tindamax,Tinidazole,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
Zithromax,Azithromycin,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
Depakene,Valproic acid,"Drowsiness, dizziness; tremors; increased risk for side effects, such as restlessness, impaired motor control; loss of appetite; stomach upset; irregular bowel movement; joint or muscle pain; depression, liver damage"
Depakote,Valproic acid,"Drowsiness, dizziness; tremors; increased risk for side effects, such as restlessness, impaired motor control; loss of appetite; stomach upset; irregular bowel movement; joint or muscle pain; depression, liver damage"
Eskalith,Lithium,"Drowsiness, dizziness; tremors; increased risk for side effects, such as restlessness, impaired motor control; loss of appetite; stomach upset; irregular bowel movement; joint or muscle pain; depression"
EskalithCR,Lithium,"Drowsiness, dizziness; tremors; increased risk for side effects, such as restlessness, impaired motor control; loss of appetite; stomach upset; irregular bowel movement; joint or muscle pain; depression"
Lithobid,Lithium,"Drowsiness, dizziness; tremors; increased risk for side effects, such as restlessness, impaired motor control; loss of appetite; stomach upset; irregular bowel movement; joint or muscle pain; depression"
Flexeril,Cyclobenzaprine,"Drowsiness, dizziness; increased risk of seizures; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Soma,Carisoprodol,"Drowsiness, dizziness; increased risk of seizures; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Antivert,Meclizine,"Drowsiness, dizziness; increased risk for overdose"
Dramamine,Dimenhydrinate,"Drowsiness, dizziness; increased risk for overdose"
Phenergan,Promethazine,"Drowsiness, dizziness; increased risk for overdose"
Advil,Ibuprofen,"Stomach upset, bleeding and ulcers, apid heartbeat"
Aleve,Naproxen,"Stomach upset, bleeding and ulcers, apid heartbeat"
Excedrin,Aspirin + Acetaminophen,"Stomach upset, bleeding and ulcers, apid heartbeat, liver damage"
Motrin,Ibuprofen,"Stomach upset, bleeding and ulcers, apid heartbeat"
Tylenol,Acetaminophen,"Stomach upset, bleeding and ulcers, apid heartbeat, liver damage"
Dilantin,Phenytoin,"Drowsiness, dizziness;, increased risk of seizures"
Horizant,Gabapentin,"Drowsiness, dizziness;"
Neurontin,Gabapentin,"Drowsiness, dizziness;"
Keppra,Levetiracetam,"Drowsiness, dizziness;, increased risk of seizures"
Klonopin,Clonazepam,"Drowsiness, dizziness;"
Lamictal,Lamotrigine,"Drowsiness, dizziness;"
Lyrica,Pregabalin,"Drowsiness, dizziness;"
Tegretol,Carbamazepine,"Drowsiness, dizziness;"
Topamax,Topiramate,"Drowsiness, dizziness;, unusual behavior and changes in mental health (such as thoughts of suicide)"
Trileptal,Oxcarbazepine,"Drowsiness, dizziness;"
Darvocet–N,Propoxyphene,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Demerol,Merepidine,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Fiorinal with codeine,Butalbital + codeine,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Percocet,Oxycodone,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Vicodin,Hydrocodone,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Ambien,Zolpidem,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Lunesta,Eszopiclone,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Prosom,Estazolam,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Restoril,Temazepam,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Sominex,Diphenhydramine,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Unisom,Doxylamine,"Drowsiness, sleepiness, dizziness; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
"Herbal preparations (chamomile, valerian, lavender)",N/A,Increased drowsiness
